,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
skill_home[2968],0.0436654,0.465361,1.02304,-1.54253,-0.0250003,1.76795,4.83285,0.000316173,1.72784
skill_home[2969],-0.0635601,0.465444,0.995782,-1.59378,-0.136076,1.60951,4.57714,0.000299443,1.83391
skill_home[2970],-0.148808,0.465093,0.999771,-1.68132,-0.219353,1.53345,4.62084,0.000302303,1.81398
skill_home[2971],-0.145039,0.465008,0.998278,-1.68657,-0.211141,1.52765,4.60873,0.000301511,1.81712
skill_home[2972],0.149166,0.467269,1.0179,-1.41976,0.0840227,1.85684,4.74544,0.000310454,1.7551
skill_home[2973],0.274645,0.466003,1.00888,-1.27562,0.206314,1.97502,4.68704,0.000306633,1.78441
skill_home[2974],-0.146469,0.469113,1.04467,-1.76619,-0.208146,1.6154,4.95909,0.000324431,1.6787
skill_home[2975],0.0434056,0.467541,1.02692,-1.54279,-0.0200268,1.78114,4.82433,0.000315615,1.72821
skill_home[2976],-0.265434,0.466895,1.00677,-1.8165,-0.336136,1.42906,4.6497,0.000304191,1.80143
skill_home[2977],-0.146297,0.468011,1.0392,-1.76715,-0.20635,1.59848,4.93045,0.000322558,1.68567
skill_home[2978],-0.73711,0.464076,0.999138,-2.27003,-0.803945,0.947657,4.63525,0.000303245,1.80747
skill_home[2979],-0.149929,0.4659,1.00114,-1.68444,-0.215722,1.5331,4.61743,0.000302079,1.81468
skill_home[2980],0.149617,0.468258,1.01743,-1.41701,0.0836898,1.86111,4.72103,0.000308857,1.76505
skill_home[2981],-0.0299931,0.466595,1.00723,-1.57876,-0.10022,1.65917,4.65995,0.000304861,1.79505
skill_home[2982],0.273395,0.464826,1.00713,-1.27639,0.206907,1.97041,4.6945,0.000307121,1.78122
skill_home[2983],0.103737,0.464511,0.999036,-1.43046,0.0385865,1.7751,4.62562,0.000302615,1.81426
skill_home[2984],0.151222,0.466132,1.01361,-1.40445,0.0829519,1.85643,4.72854,0.000309349,1.76508
skill_home[2985],0.150283,0.464663,1.01306,-1.41893,0.08803,1.85893,4.75331,0.000310969,1.75678
skill_home[2986],-0.338237,0.467064,1.026,-1.92391,-0.398958,1.39069,4.82554,0.000315694,1.72641
skill_home[2987],-0.147839,0.466691,1.00158,-1.68292,-0.223867,1.53782,4.60587,0.000301324,1.81983
skill_home[2988],0.15197,0.466345,1.01442,-1.41136,0.0891474,1.86232,4.73174,0.000309558,1.76643
skill_home[2989],-0.0333617,0.465554,1.0051,-1.57903,-0.098199,1.66121,4.66095,0.000304926,1.79522
